	CL.1.1	CL.1.2	CL.2.1	CL.2.2	CL.3.1	CL.3.2	Average	log2
693191	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100288974	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
439990	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
340665	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505540	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
26507	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
119395	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505933	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
282996	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
259217	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
283089	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100129827	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
387755	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
3739	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
2694	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100507675	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100313770	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
220032	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506355	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
283150	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
8538	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
775	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
26290	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
408186	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
387836	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
259296	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
56286	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
121275	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
677793	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
363	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
613227	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
440101	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100507195	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
374462	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
64211	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100287569	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100507066	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
144347	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
220115	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
729250	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
693208	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
283553	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506751	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506792	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100507108	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
122402	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
440233	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100033417	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
645202	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
644809	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
123745	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
255189	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
145663	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
92483	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
145741	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
197003	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506580	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506704	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
338963	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
6017	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
23766	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100507378	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
146439	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100287598	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
260434	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100128371	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100132339	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
400539	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
170692	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
123872	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506359	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
692208	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
84225	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
55065	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
390760	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
247	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
256223	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
284123	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
406968	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
40	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
353288	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
3884	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
406902	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506609	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
284083	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
1443	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100422961	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
350383	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
147429	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
147341	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505640	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100128675	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
374897	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
390928	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
147746	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
1088	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
693227	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
55228	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505886	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
26085	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
147646	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
3804	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
503835	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
7694	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
386597	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
285126	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100302652	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
50489	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
51471	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
93082	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
7535	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
400997	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
440910	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
401027	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100507313	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
1144	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100113378	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
25876	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505556	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100126339	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
5651	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
64699	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
29931	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
54763	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
56667	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
7104	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505844	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
9076	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
152789	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
407052	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
7345	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
170712	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
253017	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
1447	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
79884	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
2982	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
4889	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506013	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
132625	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506335	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
153478	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
401172	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505845	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
64902	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
345651	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505611	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505674	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
51301	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
340069	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505572	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506030	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
56142	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100507248	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
643201	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
6569	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100128340	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
1832	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
8360	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100507173	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
2880	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
401250	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
79136	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
730152	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
51557	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
167681	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100507613	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
392636	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100302122	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
3569	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
9865	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506602	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
51412	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
84691	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
317751	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
5764	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
136306	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
1180	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
135941	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
155051	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
441327	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
3620	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
27121	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100505600	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506949	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100130231	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
5462	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100302170	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506189	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
90865	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
54769	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
693186	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
407003	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
56751	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100130954	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
401561	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100128593	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
6473	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
416	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506426	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
171482	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
4114	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
7403	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
203429	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100506745	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
59353	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
56156	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
7224	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
441519	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
680	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
100126337	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
2556	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
116442	0	0	0.5002259	0	0	0	0.083370983	-3.584310838
9651	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
11330	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
729574	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
249	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
7780	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
127534	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
400757	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
439927	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
163351	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
100505840	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
22854	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
164153	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
51179	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
100423008	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
100422844	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
2703	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
100507640	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
117157	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
440699	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
92346	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
356	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
126859	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
100506206	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
7135	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
100506838	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
1379	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
10753	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
80760	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
100133093	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
26095	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
6572	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
4477	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
1305	0	0	0.500225916	0	0	0	0.083370986	-3.584310793
254173	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
126767	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
4237	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
51702	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
54546	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
64600	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
84970	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
260293	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
100131060	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
100507664	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
149233	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
6097	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
391104	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
5999	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
353299	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
343450	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
127845	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
100422947	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
100506213	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
100303453	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
148823	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
414308	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
221074	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
79290	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
56521	0	0	0	0.500748875	0	0	0.083458146	-3.58280332
84647	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
27063	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
5309	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
79949	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
196047	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
375940	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100422873	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
3043	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
340980	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
887	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506137	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
283299	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
56676	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100131381	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
54860	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100507521	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
387804	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100131541	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
85016	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
407041	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
654429	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
677780	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
5858	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506529	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
341567	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100289104	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
144501	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
319	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
144321	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
728084	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
5992	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
22895	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
8437	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
8843	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
27198	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506971	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
1045	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100188949	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100507343	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
11061	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
122183	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
319103	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506110	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
2103	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506817	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100287326	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
8926	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100507568	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100505679	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
643797	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100287301	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
7177	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
9074	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
257629	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
51327	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
644314	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100132529	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100302261	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
342527	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
84152	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
5409	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
22806	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
8689	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
9001	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
5697	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
2688	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
79092	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100302229	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
1828	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
728929	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
115701	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
84735	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
51298	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
84839	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
2528	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
147741	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
54831	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
407013	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100422943	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
388523	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
2865	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100507668	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100505604	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100422979	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
55554	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
729767	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100271846	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
442918	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506612	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
26796	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
3196	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
442028	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
8808	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506421	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
729121	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100287119	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
27178	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
408029	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
90134	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506147	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
407017	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
56918	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
6295	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100505579	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
140832	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506053	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506175	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
140689	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
149773	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506384	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
57642	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
54070	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
677846	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
400866	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
54097	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
402036	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
5988	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
27255	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
1618	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
165904	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
54716	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
646424	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
440955	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100128378	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
440970	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100302640	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100506487	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
84692	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
256076	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
6578	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
440981	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
64805	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
13	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100507661	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
6657	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
5648	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
4585	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
133060	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100505893	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
729175	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
285525	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100505505	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
255119	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
84103	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100507639	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100505989	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
79804	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
116966	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
728081	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
693164	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
202151	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
345557	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
2255	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
3003	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100303749	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
153643	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100289673	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100505811	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100133106	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
100507427	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
405754	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
80868	0	0	0	0.5007489	0	0	0.08345815	-3.582803249
